Debut	Fin	Code	NDVI_moyen_BV	NDVI_minimum_BV	NDVI_maximum_BV	NDVI_moyen_Tourbiere_Landemarais	NDVI_minimum_Tourbiere_Landemarais	NDVI_maximum_Tourbiere_Landemarais	NDVI_moyen_Marais_Sougeal	NDVI_minimum_Marais_Sougeal	NDVI_maximum_Marais_Sougeal															
2016-10-16	2016-10-31	289	0,573	0,137	0,874	0,67	0,635	0,713	0,646	0,586	0,705															
2016-11-01	2016-11-16	305	0,604	0,166	0,929	0,688	0,65	0,74	0,672	0,594	0,723															
2016-11-17	2016-12-02	321	0,622	0,183	0,875	0,636	0,587	0,719	0,677	0,57	0,749															
2016-12-03	2016-12-18	337	0,592	0,161	0,89	0,636	0,601	0,688	0,625	0,513	0,692															
2016-12-19	2016-01-03	353	0,65	0,223	0,875	0,632	0,604	0,706	0,683	0,596	0,735															
2015-01-01	2015-01-16	1	0,685	0,162	0,917	0,767	0,63	0,827	0,773	0,677	0,827															
2015-01-17	2015-02-01	17	0,645	0,11	0,96	0,679	0,632	0,727	0,714	0,536	0,822															
2015-02-02	2015-02-17	33	0,603	-0,128	0,868	0,616	0,566	0,661	0,471	-0,128	0,733															
2015-02-18	2015-03-05	49	0,603	0,14	0,974	0,622	0,576	0,674	0,582	0,158	0,713															
2015-03-06	2015-03-21	65	0,592	0,11	0,98	0,611	0,595	0,643	0,537	0,25	0,726															
2015-03-22	2015-04-06	81	0,699	0,144	0,908	0,737	0,696	0,795	0,795	0,709	0,87															
2015-04-07	2015-04-22	97	0,68	0,15	0,904	0,695	0,646	0,752	0,809	0,724	0,875															
2015-04-23	2015-05-08	113	0,678	0,182	0,916	0,698	0,554	0,824	0,833	0,677	0,874															
2015-05-09	2015-05-24	129	0,696	0,142	0,961	0,845	0,813	0,867	0,83	0,771	0,904															
2015-05-25	2015-06-09	145	0,586	-0,2	0,999	0,76	0,69	0,786	0,842	0,736	0,892															
2015-06-10	2015-06-25	161	0,574	-0,2	0,998	0,767	0,63	0,827	0,773	0,677	0,827															
2015-06-26	2015-07-11	177	0,71	0,148	0,915	0,803	0,785	0,817	0,781	0,733	0,814															
2015-07-12	2015-07-27	193	0,642	0,04	0,998	0,805	0,798	0,81	0,733	0,3	0,853															
2015-07-28	2015-08-12	209	0,693	0,218	0,933	0,781	0,749	0,8	0,744	0,655	0,837															
2015-08-13	2015-08-28	225	0,713	0,168	0,944	0,813	0,786	0,845	0,762	0,651	0,842															
2015-08-29	2015-09-13	241	0,717	0,169	0,904	0,739	0,67	0,786	0,763	0,611	0,829															
2015-09-14	2015-09-29	257	0,733	0,232	0,997	0,782	0,736	0,827	0,789	0,75	0,839															
2015-09-30	2015-10-15	273	0,711	0,224	0,901	0,748	0,739	0,764	0,77	0,714	0,807															
2015-10-16	2015-10-31	289	0,655	0,969	0,123	0,743	0,672	0,767	0,729	0,602	0,782															
2015-11-01	2015-11-16	305	0,69	0,176	0,878	0,728	0,685	0,777	0,768	0,646	0,819															
2015-11-17	2015-12-02	321	0,706	0,208	0,893	0,714	0,637	0,786	0,791	0,661	0,845															
2015-12-03	2015-12-18	337	0,726	0,196	0,905	0,737	0,703	0,784	0,801	0,695	0,851															
2015-12-19	2015-01-03	353	0,72	0,227	0,896	0,701	0,61	0,763	0,791	0,634	0,847															
2014-01-01	2014-01-16	1	0,653	0,101	0,992	0,689	0,618	0,749	0,401	0,101	0,676															
2014-01-17	2014-02-01	17	0,645	0,128	0,992	0,658	0,6	0,707	0,512	0,287	0,783															
2014-02-02	2014-02-17	33	0,642	-0,199	0,9	0,632	0,565	0,719	0,254	-0,133	0,641															
2014-02-18	2014-03-05	49	0,67	0,134	0,982	0,677	0,604	0,725	0,6	0,324	0,747															
2014-03-06	2014-03-21	65	0,682	-0,081	0,896	0,711	0,645	0,773	0,593	-0,081	0,732															
2014-03-22	2014-04-06	81	0,646	0,113	0,978	0,648	0,539	0,743	0,627	0,578	0,689															
2014-04-07	2014-04-22	97	0,678	0,211	0,963	0,712	0,636	0,795	0,779	0,682	0,859															
2014-04-23	2014-05-08	113	0,708	0,048	0,995	0,76	0,721	0,818	0,846	0,781	0,898															
2014-05-09	2014-05-24	129	0,671	0,123	0,939	0,736	0,697	0,794	0,83	0,751	0,882															
2014-05-25	2014-06-09	145	0,664	0,008	0,989	0,764	0,678	0,835	0,812	0,754	0,847															
2014-06-10	2014-06-25	161	0,645	0,097	0,933	0,748	0,73	0,782	0,758	0,681	0,832															
2014-06-26	2014-07-11	177	0,697	0,145	0,938	0,828	0,791	0,859	0,751	0,665	0,815															
2014-07-12	2014-07-27	193	0,727	0,158	0,92	0,82	0,771	0,865	0,77	0,712	0,834															
2014-07-28	2014-08-12	209	0,69	0,06	0,992	0,71	0,477	0,88	0,7	0,543	0,802															
2014-08-13	2014-08-28	225	0,725	0,094	0,994	0,796	0,783	0,824	0,777	0,654	0,834															
2014-08-29	2014-09-13	241	0,754	0,22	0,921	0,778	0,701	0,861	0,803	0,693	0,843															
2014-09-14	2014-09-29	257	0,742	0,225	0,9	0,734	0,658	0,794	0,773	0,729	0,818															
2014-09-30	2014-10-15	273	0,718	0,12	0,995	0,783	0,737	0,82	0,78	0,731	0,804															
2014-10-16	2014-10-31	289	0,669	0,215	0,872	0,754	0,72	0,785	0,78	0,722	0,821															
2014-11-01	2014-11-16	305	0,657	0,145	0,863	0,728	0,62	0,778	0,751	0,697	0,791															
2014-11-17	2014-12-02	321	0,635	0,039	0,992	0,705	0,673	0,72	0,719	0,652	0,785															
2014-12-03	2014-12-18	337	0,702	0,134	0,966	0,737	0,679	0,796	0,811	0,758	0,853															
2014-12-19	2014-01-03	353	0,674	0,221	0,885	0,701	0,604	0,763	0,746	0,621	0,846															
2013-01-01	2013-01-16	1	0,604	-0,012	0,997	0,641	0,568	0,707	0,277	0,148	0,542															
2013-01-17	2013-02-01	17	0,647	0,21	0,862	0,674	0,581	0,759	0,62	0,457	0,767															
2013-02-02	2013-02-17	33	0,632	-0,186	0,969	0,633	0,521	0,736	0,257	-0,101	0,675															
2013-02-18	2013-03-05	49	0,607	0,174	0,844	0,639	0,591	0,702	0,499	0,174	0,658															
2013-03-06	2013-03-21	65	0,611	-0,187	0,998	0,56	0,176	0,693	0,559	0,33	0,693															
2013-03-22	2013-04-06	81	0,615	0,123	0,86	0,643	0,589	0,686	0,619	0,485	0,728															
2013-04-07	2013-04-22	97	0,67	0,069	0,947	0,739	0,717	0,769	0,719	0,606	0,816															
2013-04-23	2013-05-08	113	0,687	0,114	0,922	0,729	0,654	0,784	0,768	0,685	0,853															
2013-05-09	2013-05-24	129	0,581	0,036	0,998	0,457	0,235	0,649	0,812	0,718	0,884															
2013-05-25	2013-06-09	145	0,656	0,142	0,979	0,77	0,693	0,815	0,812	0,734	0,862															
2013-06-10	2013-06-25	161	0,532	0,075	0,997	0,363	0,299	0,457	0,651	0,378	0,958															
2013-06-26	2013-07-11	177	0,682	0,22	0,928	0,774	0,744	0,804	0,767	0,682	0,816															
2013-07-12	2013-07-27	193	0,683	0,226	0,999	0,787	0,778	0,816	0,717	0,618	0,772															
2013-07-28	2013-08-12	209	0,718	0,127	0,975	0,801	0,749	0,866	0,773	0,708	0,821															
2013-08-13	2013-08-28	225	0,714	0,248	0,971	0,812	0,784	0,831	0,761	0,695	0,801															
2013-08-29	2013-09-13	241	0,678	0,226	0,912	0,754	0,673	0,804	0,701	0,638	0,743															
2013-09-14	2013-09-29	257	0,701	0,15	0,917	0,793	0,771	0,812	0,744	0,681	0,783															
2013-09-30	2013-10-15	273	0,702	0,036	0,998	0,816	0,788	0,846	0,821	0,775	0,843															
2013-10-16	2013-10-31	289	0,69	0,159	0,908	0,801	0,793	0,808	0,813	0,751	0,85															
2013-11-01	2013-11-16	305	0,674	0,214	0,884	0,771	0,698	0,815	0,762	0,696	0,792															
2013-11-17	2013-12-02	321	0,655	0,151	0,873	0,731	0,615	0,798	0,771	0,66	0,82															
2013-12-03	2013-12-18	337	0,634	0,196	0,824	0,672	0,628	0,723	0,712	0,608	0,765															
2013-12-19	2013-01-03	353	0,634	0,196	0,824	0,672	0,628	0,723	0,712	0,608	0,765															
2012-01-01	2012-01-16	1	0,725	0,232	0,945	0,71	0,63	0,76	0,766	0,661	0,833															
2012-01-17	2012-02-01	17	0,698	0,236	0,902	0,674	0,651	0,685	0,763	0,688	0,822															
2012-02-02	2012-02-17	33	0,525	-0,024	0,895	0,621	0,577	0,658	0,697	0,442	0,781															
2012-02-18	2012-03-05	49	0,629	0,156	0,838	0,63	0,518	0,695	0,688	0,581	0,779															
2012-03-06	2012-03-21	65	0,668	0,169	0,854	0,633	0,608	0,661	0,729	0,622	0,804															
2012-03-22	2012-04-06	81	0,687	0,188	0,894	0,676	0,624	0,706	0,772	0,687	0,847															
2012-04-07	2012-04-22	97	0,685	0,036	0,986	0,66	0,552	0,711	0,786	0,683	0,854															
2012-04-23	2012-05-08	113	0,679	0,046	0,998	0,778	0,743	0,826	0,738	0,627	0,879															
2012-05-09	2012-05-24	129	0,711	0,185	0,953	0,775	0,716	0,817	0,827	0,735	0,875															
