"Date","RH2M","T2M","TS","T2M_MAX","T2M_MIN"
2011-08-02,71,20.1,20.41,26.03,16.8
2011-08-03,74.56,20.29,21.15,26.37,14.76
2011-08-04,87.88,19.4,19.4,22.48,16.31
2011-08-05,82.44,18.26,19.1,23.26,14.59
2011-08-06,83.25,16.02,16.55,18.88,11.76
2011-08-07,78.12,15.37,15.83,20.09,10.33
2011-08-08,72.88,15.78,16.24,20.95,11.15
2011-08-09,74.56,15.6,16.33,21.95,10.33
2011-08-10,68.75,16.58,17.33,23.22,10.12
2011-08-11,77.81,17.35,17.82,24.26,9.46
2011-08-12,76.12,19.21,19.9,24.28,15.45
2011-08-13,87.38,19.06,19.31,24.76,15.43
2011-08-14,85.06,17.32,17.55,19.91,12.29
2011-08-15,71.88,16.88,17.68,22.71,10.01
2011-08-16,68.44,18.94,19.62,25.31,11.78
2011-08-17,77.69,20.54,21.12,26.93,13.9
2011-08-18,75.44,20.82,21.48,26.28,16.24
2011-08-19,72.44,18.94,19.97,24.85,13.51
2011-08-20,72.75,21.15,21.56,28.01,12.63
2011-08-21,72.88,21.08,21.9,27.84,16.26
2011-08-22,85.88,20.28,20.65,26.15,15.83
2011-08-23,78.12,19.65,19.95,23.83,14.98
2011-08-24,74,16.65,17.26,21.94,12.36
2011-08-25,82.75,16.8,16.9,20.53,13.41
2011-08-26,80.5,15.08,15.31,18.97,11.15
2011-08-27,74.12,14.88,15.23,20.12,9.96
2011-08-28,73.5,14.65,15.31,21.01,8.39
2011-08-29,76.06,14.13,14.73,19.36,8.96
2011-08-30,71.5,14.8,15.63,20.87,8.08
2011-08-31,68.19,17.08,17.23,23.09,11.67
2011-09-01,79.12,19.35,19.54,25.92,13.68
2011-09-02,70.94,20.93,20.98,27.97,14.57
2011-09-03,73.19,19.44,20.08,26.58,13.83
2011-09-04,77.75,17.15,17.59,20.93,12.96
2011-09-05,75.94,14.81,15.01,19.49,10.04
2011-09-06,81.19,17.08,16.99,19.64,13.81
2011-09-07,72.56,16,16.35,21.44,12.08
2011-09-08,88,18.16,18.26,23.17,12.31
2011-09-09,85.25,20.29,20.55,25.1,16.08
2011-09-10,84.75,18.83,19,23.54,15.26
2011-09-11,83.75,16.96,16.98,21.46,14.47
2011-09-12,81.5,18.98,19.1,24.09,14.57
2011-09-13,72.31,16.15,16.57,22.05,9.98
